车站,首班车,末班车,上下行
宏图大道,6:00,23:00,上行
市民之家,6:03,23:03,上行
后湖大道,6:00,23:06,上行
兴业路,6:02,23:08,上行
二七小路,6:00,23:10,上行
罗家庄,6:01,23:12,上行
赵家条,6:03,23:14,上行
惠济二路,6:05,23:16,上行
香港路,6:00,23:18,上行
菱角湖,6:02,23:21,上行
范湖,6:00,23:24,上行
云飞路,6:01,23:26,上行
武汉商务区,6:04,23:28,上行
双墩,6:00,23:31,上行
宗关,6:02,23:33,上行
王家湾,6:06,23:37,上行
龙阳村,6:08,23:40,上行
陶家岭,6:10,23:42,上行
四新大道,6:13,23:44,上行
汉阳客运站,6:08,23:46,上行
三角湖,6:11,23:48,上行
体育中心,6:00,23:51,上行
东风公司,6:02,23:53,上行
沌阳大道,——,23:55（到达）,上行
沌阳大道,6:00,23:00,上行
东风公司,6:02,23:02,上行
体育中心,6:04,23:04,上行
三角湖,6:06,23:07,上行
汉阳客运站,6:09,23:09,上行
四新大道,6:00,23:11,上行
陶家岭,6:02,23:13,上行
龙阳村,6:04,23:15,上行
王家湾,6:00,23:18,上行
宗关,6:04,23:22,上行
双墩,6:06,23:24,上行
武汉商务区,6:00,23:27,上行
云飞路,6:02,23:29,上行
范湖,6:04,23:31,上行
菱角湖,6:00,23:34,上行
香港路,6:02,23:36,上行
惠济二路,6:04,23:38,上行
赵家条,6:00,23:41,上行
罗家庄,6:02,23:42,上行
二七小路,6:04,23:44,上行
兴业路,6:06,23:47,上行
后湖大道,6:09,23:49,上行
